"imdb_id","genre"
"tt0038452","Drama"
"tt0038452","Mystery"
"tt0038494","Crime"
"tt0038494","Drama"
"tt0038494","Mystery"
"tt0038574","Adventure"
"tt0038574","Drama"
"tt0038574","Mystery"
"tt0038650","Drama"
"tt0038650","Family"
"tt0038650","Fantasy"
"tt0038669","Crime"
"tt0038669","Drama"
"tt0038669","Film-Noir"
"tt0038694","Comedy"
"tt0038694","Romance"
"tt0038776","Biography"
"tt0038776","Drama"
"tt0038776","Musical"
"tt0038777","Comedy"
"tt0038777","Family"
"tt0038782","Crime"
"tt0038782","Drama"
"tt0038782","Film-Noir"
"tt0038823","Drama"
"tt0038823","War"
"tt0038890","Drama"
"tt0038890","Thriller"
"tt0038890","War"
"tt0038908","Adventure"
"tt0038908","Comedy"
"tt0038908","Crime"
"tt0038924","Drama"
"tt0038924","Music"
"tt0038991","Crime"
"tt0038991","Drama"
"tt0038991","Film-Noir"
"tt0039017","Crime"
"tt0039017","Drama"
"tt0039017","Film-Noir"
"tt0039035","Biography"
"tt0039035","Musical"
"tt0039041","Drama"
"tt0039041","Romance"
"tt0039041","War"
"tt0039190","Comedy"
"tt0039190","Drama"
"tt0039190","Fantasy"
"tt0039191","Drama"
"tt0039191","History"
"tt0039191","Sport"
"tt0039192","Drama"
"tt0039224","Crime"
"tt0039224","Drama"
"tt0039224","Film-Noir"
"tt0039372","Crime"
"tt0039372","Drama"
"tt0039372","Film-Noir"
"tt0039404","Adventure"
"tt0039404","Animation"
"tt0039404","Comedy"
"tt0039417","Drama"
"tt0039452","Crime"
"tt0039452","Drama"
"tt0039452","Mystery"
"tt0039566","Comedy"
"tt0039566","Family"
"tt0039581","Drama"
"tt0039581","Film-Noir"
"tt0039589","Crime"
"tt0039589","Drama"
"tt0039589","Film-Noir"
"tt0039628","Comedy"
"tt0039628","Drama"
"tt0039628","Family"
"tt0039631","Comedy"
"tt0039631","Crime"
"tt0039631","Drama"
"tt0039645","Comedy"
"tt0039645","Crime"
"tt0039645","Mystery"
"tt0039655","Drama"
"tt0039655","Music"
"tt0039655","Romance"
"tt0039677","Crime"
"tt0039677","Drama"
"tt0039677","Film-Noir"
"tt0039800","Crime"
"tt0039800","Horror"
"tt0039800","Mystery"
"tt0039808","Comedy"
"tt0039808","Fantasy"
"tt0039808","Romance"
"tt0039840","Comedy"
"tt0039840","Crime"
"tt0039840","Drama"
"tt0039924","Drama"
"tt0039924","Music"
"tt0039924","Western"
"tt0039926","Crime"
"tt0039926","Drama"
"tt0039926","Film-Noir"
"tt0040270","Crime"
"tt0040270","Film-Noir"
"tt0040270","Thriller"
"tt0040321","Drama"
"tt0040321","Romance"
"tt0040416","Drama"
"tt0040427","Crime"
"tt0040427","Film-Noir"
"tt0040427","Thriller"
"tt0040506","Action"
"tt0040506","Crime"
"tt0040506","Drama"
"tt0040522","Drama"
"tt0040550","Adventure"
"tt0040550","Drama"
"tt0040559","Comedy"
"tt0040559","Fantasy"
"tt0040580","Animation"
"tt0040580","Comedy"
"tt0040580","Family"
"tt0040636","Crime"
"tt0040636","Drama"
"tt0040636","Film-Noir"
"tt0040662","Drama"
"tt0040725","Drama"
"tt0040725","Music"
"tt0040725","Romance"
"tt0040799","Crime"
"tt0040799","Drama"
"tt0040799","Mystery"
"tt0040820","Comedy"
"tt0040820","Music"
"tt0040820","Musical"
"tt0040829","Drama"
"tt0040829","Film-Noir"
"tt0040829","Horror"
"tt0040976","Biography"
"tt0040976","Comedy"
"tt0040976","Musical"
"tt0041030","Western"
"tt0041094","Animation"
"tt0041094","Comedy"
"tt0041094","Family"
"tt0041154","Comedy"
"tt0041154","Drama"
"tt0041223","Western"
"tt0041495","Crime"
"tt0041495","Drama"
"tt0041495","Film-Noir"
"tt0041497","Western"
"tt0041503","Crime"
"tt0041503","Drama"
"tt0041503","Film-Noir"
"tt0041509","Comedy"
"tt0041509","Musical"
"tt0041509","Romance"
"tt0041672","Drama"
"tt0041672","Romance"
"tt0041700","Drama"
"tt0041719","Drama"
"tt0041719","Fantasy"
"tt0041719","Romance"
"tt0041790","Crime"
"tt0041790","Drama"
"tt0041790","Film-Noir"
"tt0041915","Western"
"tt0041931","Drama"
"tt0041959","Drama"
"tt0041959","Film-Noir"
"tt0041959","Mystery"
"tt0041963","Crime"
"tt0041963","Drama"
"tt0041963","Film-Noir"
"tt0041967","Crime"
"tt0041967","Drama"
"tt0041967","Film-Noir"
"tt0041968","Crime"
"tt0041968","Film-Noir"
"tt0042093","Western"
"tt0042110","Western"
"tt0042168","Family"
"tt0042168","Game-Show"
"tt0042176","Action"
"tt0042176","Crime"
"tt0042176","Drama"
"tt0042209","Comedy"
"tt0042209","Musical"
"tt0042209","War"
"tt0042276","Comedy"
"tt0042276","Drama"
"tt0042276","Romance"
"tt0042332","Animation"
"tt0042332","Family"
"tt0042332","Fantasy"
"tt0042343","Action"
"tt0042343","Crime"
"tt0042343","Drama"
"tt0042367","Adventure"
"tt0042367","Drama"
"tt0042367","Romance"
"tt0042477","Biography"
"tt0042477","Comedy"
"tt0042477","Drama"
"tt0042524","Comedy"
"tt0042524","Family"
"tt0042546","Comedy"
"tt0042546","Drama"
"tt0042546","Fantasy"
"tt0042643","Drama"
"tt0042643","Film-Noir"
"tt0042643","Thriller"
"tt0042700","Crime"
"tt0042700","Drama"
"tt0042700","Mystery"
"tt0042707","Crime"
"tt0042707","Drama"
"tt0042707","Film-Noir"
"tt0042876","Crime"
"tt0042876","Drama"
"tt0042876","Mystery"
"tt0042892","Western"
"tt0042906","Drama"
"tt0042906","Romance"
"tt0042935","Film-Noir"
"tt0042935","Mystery"
"tt0042935","Thriller"
"tt0043014","Drama"
"tt0043014","Film-Noir"
"tt0043067","Adventure"
"tt0043067","Family"
"tt0043142","Crime"
"tt0043142","Drama"
"tt0043142","Film-Noir"
"tt0043208","Comedy"
"tt0043224","Comedy"
"tt0043238","Drama"
"tt0043238","Horror"
"tt0043238","Mystery"
"tt0043265","Adventure"
"tt0043265","Drama"
"tt0043265","Romance"
"tt0043274","Adventure"
"tt0043274","Animation"
"tt0043274","Comedy"
"tt0043313","Comedy"
"tt0043313","Drama"
"tt0043313","Romance"
"tt0043511","Drama"
"tt0043526","Comedy"
"tt0043526","Drama"
"tt0043526","Romance"
"tt0043539","Drama"
"tt0043539","Horror"
"tt0043539","Sci-Fi"
"tt0043590","Drama"
"tt0043590","History"
"tt0043590","War"
"tt0043646","Crime"
"tt0043646","Drama"
"tt0043646","Film-Noir"
"tt0043660","Crime"
"tt0043660","Drama"
"tt0043660","Film-Noir"
"tt0043744","Crime"
"tt0043744","Drama"
"tt0043744","Film-Noir"
"tt0043809","Comedy"
"tt0043809","Drama"
"tt0043809","Fantasy"
"tt0043812","Crime"
"tt0043812","Drama"
"tt0043812","Film-Noir"
"tt0043938","Drama"
"tt0043938","Film-Noir"
"tt0043938","Thriller"
"tt0043961","Drama"
"tt0043961","War"
"tt0043972","Drama"
"tt0043972","Romance"
"tt0043998","Drama"
"tt0043998","Film-Noir"
"tt0043998","Thriller"
"tt0044136","Crime"
"tt0044136","Drama"
"tt0044136","Film-Noir"
"tt0044207","Action"
"tt0044207","Sci-Fi"
"tt0044207","Thriller"
"tt0044229","Comedy"
